item.id,length,char,target,word.form,comma.present,sentence.pos,Freq_lemma,Freq_type,POS,м,Sentences_with_mask,sentence.length,word.length,f,word.id
25,medium,5,узкий,"узкой,",1,5,"88,3",high,adj,"Власть судов была такой узкой, что они ничего не решали.","Власть судов была такой <mask>, что они ничего не решали.",10,6,"1,945960704",узкой
26,medium,5,новый,новой,0,7,"1217,5",high,adj,Тема эта в то время была новой для многих.,Тема эта в то время была <mask> для многих.,9,5,"3,08546897",новой
27,medium,5,крыша,крыши,0,6,85,high,noun,Каждое утро на самый верх крыши МГУ поднимается симпатичная научная сотрудница.,Каждое утро на самый верх <mask> МГУ поднимается симпатичная научная сотрудница.,11,5,"1,929418926",крыши
28,medium,5,вагон,"вагоны,",1,6,"70,9",high,noun,"Музыканты играли на похоронах, разгружали вагоны, жили бедно.","Музыканты играли на похоронах, разгружали <mask>, жили бедно.",8,7,"1,850646235",вагоны
29,medium,5,центр,центре,0,9,"265,9",high,noun,"Зоопарк ― это кусочек другого мира, находящийся в самом центре нашего района.","Зоопарк ― это кусочек другого мира, находящийся в самом <mask> нашего района.",12,6,"2,424718337",центре
30,medium,5,семья,семья,0,6,"276,6",high,noun,"Взяв с собой фотоаппарат, вся семья поехала в парк на пикник.","Взяв с собой фотоаппарат, вся <mask> поехала в парк на пикник.",11,5,"2,441852176",семья
31,medium,5,расти,"росли,",1,3,"125,8",high,verb,"Телята быстро росли, превращаясь в ласковых коров.","Телята быстро <mask>, превращаясь в ласковых коров.",7,6,"2,099680641",росли
32,medium,5,спать,спать,0,4,"221,9",high,verb,"Он стал плохо спать, капризничать в детском саду.","Он стал плохо <mask>, капризничать в детском саду.",8,5,"2,346157302",спать
33,medium,6,тонкий,тонким,0,4,"112,4",high,adj,"Чтобы придать объем тонким волосам, нанесите на них лечебную маску.","Чтобы придать объем <mask> волосам, нанесите на них лечебную маску.",10,6,"2,050766311",тонким
34,medium,6,полный,полный,0,6,"390,6",high,adj,"У тебя впереди замечательный день, полный приятных событий.","У тебя впереди замечательный день, <mask> приятных событий.",8,6,"2,591732239",полный
35,medium,6,молоко,"молоко,",1,9,"57,4",high,noun,"Мама брала меня с собой, и мы, сдав молоко, ехали гулять.","Мама брала меня с собой, и мы, сдав <mask>, ехали гулять.",11,7,"1,758911892",молоко
36,medium,6,собака,"собака,",1,5,"79,4",high,noun,"От смерти его спасла собака, приносившая ему еду.","От смерти его спасла <mask>, приносившая ему еду.",8,7,"1,899820502",собака
37,medium,6,расход,расходу,0,4,"90,2",high,noun,"Судя по огромному расходу воды, они купали слонов.","Судя по огромному <mask> воды, они купали слонов.",8,7,"1,955206538",расходу
38,medium,6,желать,желает,0,3,"123,1",high,verb,"Тому, кто желает невозможного, объяснят: Близок локоть, да не укусишь.","Тому, кто <mask> невозможного, объяснят: Близок локоть, да не укусишь.",10,6,"2,090258053",желает
39,medium,6,лететь,летела,0,5,"82,9",high,verb,"Когда она в самолёте летела домой, читать не было сил.","Когда она в самолёте <mask> домой, читать не было сил.",10,6,"1,918554531",летела
40,medium,6,узнать,узнал,0,4,"238,1",high,verb,"Володя каким-то образом узнал то, чего ему не надо было знать.","Володя каким-то образом <mask> то, чего ему не надо было знать.",11,5,"2,376759395",узнал
41,medium,7,прежний,прежняя,0,5,"103,6",high,adj,"Перед ним снова была прежняя Маша, которую он знал и любил.","Перед ним снова была <mask> Маша, которую он знал и любил.",11,7,"2,015359755",прежняя
42,medium,7,который,который,0,5,4209,high,adj,"Мне нравится сын коллеги, который недавно заходил в наш отдел.","Мне нравится сын коллеги, <mask> недавно заходил в наш отдел.",10,7,"3,624178926",который
43,medium,7,подруга,"подруга,",1,4,"79,4",high,noun,"У мамы есть подруга, которая живёт прямо напротив здания театра.","У мамы есть <mask>, которая живёт прямо напротив здания театра.",10,8,"1,899820502",подруга
44,medium,7,красота,"красоты,",1,3,"94,7",high,noun,"Душа требовала красоты, и Николай Фомин украсил свой дом резьбой.","Душа требовала <mask>, и Николай Фомин украсил свой дом резьбой.",10,8,"1,976349979",красоты
45,medium,7,корабль,"кораблей,",1,8,"112,5",high,noun,"За углом ― Морской музей, с бесчисленными моделями кораблей, старинных и современных.","За углом ― Морской музей, с бесчисленными моделями <mask>, старинных и современных.",12,9,"2,051152522",кораблей
46,medium,7,телефон,"телефон,",1,5,"167,8",high,noun,"Причиной аварии был мобильный телефон, который отвлекал водителя от дороги.","Причиной аварии был мобильный <mask>, который отвлекал водителя от дороги.",10,8,"2,224791956",телефон
47,medium,7,бросить,бросить,0,3,"116,5",high,verb,"Можно будет бросить дополнительные занятия, и даже школу можно бросить.","Можно будет <mask> дополнительные занятия, и даже школу можно бросить.",10,7,"2,066325925",бросить
48,medium,7,входить,входить,0,5,"157,9",high,verb,Какие главные лекарства должны входить в аптечку автомобилиста?,Какие главные лекарства должны <mask> в аптечку автомобилиста?,8,7,"2,19838213",входить
49,long,8,открытый,открытая,0,5,"134,4",high,adj,На газовой плите стояла открытая кастрюля с кипящей водой.,На газовой плите стояла <mask> кастрюля с кипящей водой.,9,8,"2,128399269",открытая
50,long,8,страшный,страшных,0,7,"169,1",high,adj,Автор принадлежит к числу последних свидетелей страшных событий прошлого века.,Автор принадлежит к числу последних свидетелей <mask> событий прошлого века.,10,8,"2,228143608",страшных
51,long,8,лестница,лестнице,0,4,"83,1",high,noun,На ведущей вниз лестнице сосед просил прекратить разговоры.,На ведущей вниз <mask> сосед просил прекратить разговоры.,8,8,"1,919601024",лестнице
52,long,8,страница,страницы,0,7,"95,1",high,noun,Этот роман захватывает читателя с первой страницы и держит до последней.,Этот роман захватывает читателя с первой <mask> и держит до последней.,11,8,"1,978180517",страницы
53,long,8,командир,"командиру,",1,5,"110,9",high,noun,"В вопросе послышался упрёк командиру, словно он был виновником происшедшего.","В вопросе послышался упрёк <mask>, словно он был виновником происшедшего.",10,10,"2,044931546",командиру
54,long,8,общество,обществе,0,3,"314,7",high,noun,В современном обществе семья и школа оказывают большое влиявние на подростков.,В современном <mask> семья и школа оказывают большое влиявние на подростков.,11,8,"2,497896743",обществе
55,long,8,получать,получает,0,3,"188,2",high,verb,Этот студент получает только отличные оценки с самого первого семестра.,Этот студент <mask> только отличные оценки с самого первого семестра.,10,8,"2,274619619",получает
56,long,8,называть,называют,0,5,"293,4",high,verb,В числе возможных кандидатов называют депутата от партии правых.,В числе возможных кандидатов <mask> депутата от партии правых.,9,8,"2,46746011",называют
57,long,9,спокойный,спокойный,0,6,"83,4",high,adj,"Зачем ему звонить, если откликается спокойный женский голос?","Зачем ему звонить, если откликается <mask> женский голос?",8,9,"1,921166051",спокойный
58,long,9,отдельный,отдельная,0,3,"177,5",high,adj,Ирине досталась отдельная комната в двухкомнатной квартире.,Ирине досталась <mask> комната в двухкомнатной квартире.,7,9,"2,249198357",отдельная
59,long,9,атмосфера,атмосфера,0,4,"56,4",high,noun,В тот момент атмосфера наших посиделок внезапно сильно изменилась.,В тот момент <mask> наших посиделок внезапно сильно изменилась.,9,9,"1,751279104",атмосфера
60,long,9,противник,противник,0,3,"95,5",high,noun,"Товарищ генерал, противник пробрался на наш командный пункт!","Товарищ генерал, <mask> пробрался на наш командный пункт!",8,9,"1,980003372",противник
61,long,9,стоимость,стоимостью,0,5,"98,1",high,noun,Шею Лизы украшало ожерелье стоимостью в 15 тысяч долларов.,Шею Лизы украшало ожерелье <mask> в 15 тысяч долларов.,9,10,"1,991669007",стоимостью
62,long,9,заявление,заявление,0,6,"109,3",high,noun,На Ольгу Васильевну было написано заявление в полицию.,На Ольгу Васильевну было написано <mask> в полицию.,8,9,"2,038620162",заявление
63,long,9,повторить,"повторили,",1,6,"80,9",high,verb,"Что ты хочешь чтобы тебе повторили, вопрос или ответ?","Что ты хочешь чтобы тебе <mask>, вопрос или ответ?",9,10,"1,907948522",повторили
64,long,9,заставить,заставить,0,8,"92,1",high,verb,Но четыре года я не мог себя заставить сделать это.,Но четыре года я не мог себя <mask> сделать это.,10,9,"1,96425963",заставить
65,long,10,одинаковый,одинаковые,0,3,"52,3",high,adj,Педагог предъявляет одинаковые требования ко всем.,Педагог предъявляет <mask> требования ко всем.,6,10,"1,718501689",одинаковые
66,long,10,несчастный,несчастные,0,6,"54,9",high,adj,"Они не ели целый день, несчастные дети, и были очень голодны.","Они не ели целый день, <mask> дети, и были очень голодны.",11,10,"1,739572344",несчастные
67,long,10,напряжение,напряжение,0,6,"50,7",high,noun,"Твоё тело расслабляется, и исчезает напряжение в области мышц.","Твоё тело расслабляется, и исчезает <mask> в области мышц.",9,10,"1,705007959",напряжение
68,long,10,обстановка,"обстановка,",1,6,"76,2",high,noun,"Стала стабильнее экономическая и политическая обстановка, люди расслабились.","Стала стабильнее экономическая и политическая <mask>, люди расслабились.",8,11,"1,881954971",обстановка
69,long,10,специалист,специалист,0,3,"161,9",high,noun,"Работы выполняет специалист от исполнителя, имеющий высокую квалификацию.","Работы выполняет <mask> от исполнителя, имеющий высокую квалификацию.",8,10,"2,209246849",специалист
70,long,10,количество,количество,0,9,"206,7",high,noun,Во избежание ожогов надо нанести на лицо небольшое количество защитного крема.,Во избежание ожогов надо нанести на лицо небольшое <mask> защитного крема.,11,10,"2,315340477",количество
71,long,10,установить,установить,0,3,174,high,verb,Государством предлагается установить ограничение на скорость движения.,Государством предлагается <mask> ограничение на скорость движения.,7,10,"2,240549248",установить
72,long,10,обнаружить,обнаружена,0,7,125,high,verb,В конверте вместе с деньгами была обнаружена записка с угрозами.,В конверте вместе с деньгами была <mask> записка с угрозами.,10,10,"2,096910013",обнаружена
73,short,3,фен,фен,0,6,2,low,noun,"Что используют для этой прически, фен или ещё что?","Что используют для этой прически, <mask> или ещё что?",9,3,"0,3010299957",фен
74,short,3,лис,лис,0,7,"2,6",low,noun,"Там, недалеко от кухонной двери, сидел лис с треугольной мордой.","Там, недалеко от кухонной двери, сидел <mask> с треугольной мордой.",10,3,"0,414973348",лис
75,short,3,вол,"вол,",1,6,3,low,noun,"Что может сделать самый сильный вол, если он впряжен в сломанную повозку?","Что может сделать самый сильный <mask>, если он впряжен в сломанную повозку?",12,4,"0,4771212547",вол
76,short,3,нюх,нюх,0,6,"3,4",low,noun,У директора школы был тонкий нюх на талантливых педагогов.,У директора школы был тонкий <mask> на талантливых педагогов.,9,3,"0,531478917",нюх
77,short,3,сор,сора,0,5,"3,8",low,noun,Он умел из любого сора извлекать информацию.,Он умел из любого <mask> извлекать информацию.,7,4,"0,5797835966",сора
78,short,3,сук,сук,0,6,"6,5",low,noun,В темноте Иван задел острый сук и чуть не порвал рукав.,В темноте Иван задел острый <mask> и чуть не порвал рукав.,11,3,"0,8129133566",сук
79,short,3,оса,осы,0,6,"3,2",low,noun,В сюжете этого фильма какие-то осы устраивают себе гнёзда в дереве.,В сюжете этого фильма какие-то <mask> устраивают себе гнёзда в дереве.,11,3,"0,5051499783",осы
80,short,3,лом,лом,0,5,"8,8",low,noun,"В багажнике были лопата, лом и грабли.","В багажнике были лопата, <mask> и грабли.",7,3,"0,9444826722",лом
81,short,4,ноев,Ноев,0,4,"0,6",low,adj,"Существует легенда, что Ноев ковчег вынесло на вершину этой горы.","Существует легенда, что <mask> ковчег вынесло на вершину этой горы.",10,4,"-0,2218487496",ноев
82,short,4,ярый,ярых,0,9,"6,6",low,adj,"Покуда я нахожусь у власти, я буду предметом ярых нападок соперников.","Покуда я нахожусь у власти, я буду предметом <mask> нападок соперников.",11,4,"0,8195439355",ярых
83,short,4,юлин,Юлин,0,7,1,low,adj,"Ей хотелось выплеснуть чай на бежевый Юлин пиджак, но она сдерживалась.","Ей хотелось выплеснуть чай на бежевый <mask> пиджак, но она сдерживалась.",11,4,0,юлин
84,short,4,хаки,хаки,0,8,1,low,adj,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета хаки из шерсти.","Выбирая вязаную шапочку, знайте, что лучше шапка цвета <mask> из шерсти.",11,4,0,хаки
85,short,4,крен,крен,0,4,"3,1",low,noun,Наше правительство сделало крен на дополнительные инвестиции в развитие науки.,Наше правительство сделало <mask> на дополнительные инвестиции в развитие науки.,10,4,"0,4913616938",крен
86,short,4,урон,урон,0,3,"3,6",low,noun,"Думаю, большой урон здоровью такие вечеринки не наносят.","Думаю, большой <mask> здоровью такие вечеринки не наносят.",8,4,"0,5563025008",урон
87,short,4,барс,барса,0,4,"3,9",low,noun,На запись голоса барса я наткнулся совершенно случайно.,На запись голоса <mask> я наткнулся совершенно случайно.,8,5,"0,591064607",барса
88,short,4,бант,бант,0,4,"5,3",low,noun,Очень хочется заплести бант в косу и надеть красивое платье.,Очень хочется заплести <mask> в косу и надеть красивое платье.,10,4,"0,7242758696",бант
89,short,4,уйма,уйма,0,5,"5,3",low,noun,"За два года накопилась уйма вопросов, на которые надо было ответить.","За два года накопилась <mask> вопросов, на которые надо было ответить.",11,4,"0,7242758696",уйма
90,short,4,мазь,мазь,0,4,"5,5",low,noun,Врач прописал заживляющую мазь для обработки раны.,Врач прописал заживляющую <mask> для обработки раны.,7,4,"0,7403626895",мазь
91,short,4,фарш,фарш,0,5,6,low,noun,"Она успевала убраться, разморозить фарш и приготовить ужин всем нам.","Она успевала убраться, разморозить <mask> и приготовить ужин всем нам.",10,4,"0,7781512504",фарш
92,short,4,стог,"стога,",1,4,"4,2",low,noun,"Я слезал, щупал стога, чтобы узнать, сухие ли.","Я слезал, щупал <mask>, чтобы узнать, сухие ли.",8,6,"0,6232492904",стога
93,short,4,мять,мяли,0,4,"4,7",low,verb,"В деревнях по-прежнему мяли лен, дороги оставались непроезжими.","В деревнях по-прежнему <mask> лен, дороги оставались непроезжими.",8,4,"0,6720978579",мяли
94,short,4,рыть,рыть,0,8,"8,7",low,verb,"Не обнаружив ничего в досье, сыщики решили рыть в другом направлении.","Не обнаружив ничего в досье, сыщики решили <mask> в другом направлении.",11,4,"0,9395192526",рыть
95,short,4,вить,вить,0,5,"2,2",low,verb,Дрозды и сковрцы начали вить семейные гнёзда неподалеку друг от друга.,Дрозды и сковрцы начали <mask> семейные гнёзда неподалеку друг от друга.,11,4,"0,3424226808",вить
96,short,4,сечь,"сечь,",1,5,"3,6",low,verb,"Собаку, виновницу случившегося, приказали сечь, хотя в чем была ее вина?","Собаку, виновницу случившегося, приказали <mask>, хотя в чем была ее вина?",11,5,"0,5563025008",сечь
97,medium,5,едкий,едкой,0,3,"5,7",low,adj,С нескрываемой едкой иронией отзываются они друг о друге.,С нескрываемой <mask> иронией отзываются они друг о друге.,9,5,"0,7558748557",едкой
98,medium,5,талый,талый,0,6,3,low,adj,"Олень бродил среди берёз, жевал талый снег и поглядывал за реку.","Олень бродил среди берёз, жевал <mask> снег и поглядывал за реку.",11,5,"0,4771212547",талый
99,medium,5,мопед,мопед,0,5,"0,8",low,noun,Приблизительно в центре тайги мопед упал в сугроб и сломался.,Приблизительно в центре тайги <mask> упал в сугроб и сломался.,10,5,"-0,09691001301",мопед
100,medium,5,купон,"купон,",1,6,"2,6",low,noun,"Убедительно просим вас разборчиво заполнять купон, желательно печатными буквами.","Убедительно просим вас разборчиво заполнять <mask>, желательно печатными буквами.",9,6,"0,414973348",купон
101,medium,5,шлейф,шлейф,0,6,"3,5",low,noun,За министром труда тянется целый шлейф финансовых скандалов.,За министром труда тянется целый <mask> финансовых скандалов.,8,5,"0,5440680444",шлейф
102,medium,5,крупа,крупу,0,4,"6,8",low,noun,"А промывать манную крупу перед тем, как варить ее, не пробовали?","А промывать манную <mask> перед тем, как варить ее, не пробовали?",11,5,"0,8325089127",крупу
103,medium,5,омыть,омоет,0,6,"1,9",low,verb,"Я сказал, что русский солдат омоет сапоги в Индийском океане.","Я сказал, что русский солдат <mask>  сапоги в Индийском океане.",10,5,"0,278753601",омоет
104,medium,5,злить,злило,0,5,3,low,verb,"Я знал: их особенно злило то, что я никуда не бежал.","Я знал: их особенно <mask>  то, что я никуда не бежал.",11,5,"0,4771212547",злило
105,medium,6,сытный,сытные,0,6,"2,9",low,adj,"Приготовь себе диетические овощные блюда, сытные и восхитительные на вкус.","Приготовь себе диетические овощные блюда, <mask>  и восхитительные на вкус.",10,6,"0,4623979979",сытные
106,medium,6,зоркий,зоркий,0,6,"3,4",low,adj,"Создать настоящие шедевры вам помогут зоркий глаз, терпение и упорство.","Создать настоящие шедевры вам помогут <mask>  глаз, терпение и упорство.",10,6,"0,531478917",зоркий
107,medium,6,бампер,бампера,0,8,"3,7",low,noun,Ему удалось вскрыть банку об острый край бампера своего автомобиля.,Ему удалось вскрыть банку об острый край <mask>  своего автомобиля.,10,7,"0,5682017241",бампера
108,medium,6,соната,"сонату,",1,5,"3,8",low,noun,"По воскресеньям музыканты, исполнявшие сонату, собирались в клубе.","По воскресеньям музыканты, исполнявшие <mask> , собирались в клубе.",8,7,"0,5797835966",сонату
109,medium,6,микроб,микробы,0,3,"4,9",low,noun,"В бассейне микробы живут недолго, они привыкли к организму.","В бассейне <mask>  живут недолго, они привыкли к организму.",9,7,"0,69019608",микробы
110,medium,6,штатив,штатив,0,6,"1,3",low,noun,Мы установили камеру на новый штатив и приступили к съемкам.,Мы установили камеру на новый <mask>  и приступили к съемкам.,10,6,"0,1139433523",штатив
111,medium,6,урчать,урчала,0,7,"3,3",low,verb,"Елена сидела в кресле, молодая Мурка урчала у неё на коленях.","Елена сидела в кресле, молодая Мурка <mask>  у неё на коленях.",11,6,"0,5185139399",урчала
112,medium,6,испечь,испечь,0,5,"3,4",low,verb,Ей никак не суметь испечь такой торт самой.,Ей никак не суметь <mask>  такой торт самой.,8,6,"0,531478917",испечь
113,medium,7,неявный,неявное,0,5,"1,7",low,adj,"В речи учёного прозвучало неявное сопоставление с другим, знаменитым, физиком.","В речи учёного прозвучало <mask>  сопоставление с другим, знаменитым, физиком.",10,7,"0,2304489214",неявное
114,medium,7,пахучий,пахучим,0,9,"4,6",low,adj,"Я люблю салат из картошки с зеленью, заправленный пахучим подсолнечным маслом.","Я люблю салат из картошки с зеленью, заправленный <mask>  подсолнечным маслом.",11,7,"0,6627578317",пахучим
115,medium,7,соринка,"соринку,",1,7,"1,3",low,noun,"Если я еще увижу здесь хоть соринку, я тебе уши оторву.","Если я еще увижу здесь хоть <mask> , я тебе уши оторву.",11,8,"0,1139433523",соринку
116,medium,7,русалка,русалки,0,7,"4,2",low,noun,И на берегу озера тогда появляются русалки и ведьмы.,И на берегу озера тогда появляются <mask>  и ведьмы.,9,7,"0,6232492904",русалки
117,medium,7,ремешок,ремешок,0,6,"4,3",low,noun,Под рукавом рубашки виднелся тонкий ремешок мужских часов.,Под рукавом рубашки виднелся тонкий <mask>  мужских часов.,8,7,"0,6334684556",ремешок
118,medium,7,розетка,розетки,0,5,"5,3",low,noun,На вторичном рынке жилья розетки заклеивают обоями во время ремонта.,На вторичном рынке жилья <mask>  заклеивают обоями во время ремонта.,10,7,"0,7242758696",розетки
119,medium,7,хмурить,хмурила,0,4,"1,2",low,verb,"Она с досадой хмурила брови, оглядываясь на дом.","Она с досадой <mask>  брови, оглядываясь на дом.",8,7,"0,07918124605",хмурила
120,medium,7,трепать,трепало,0,4,"4,7",low,verb,"В лесу ветром трепало сухие стебли растений, почерневшие от летнего солнца.","В лесу ветром <mask>  сухие стебли растений, почерневшие от летнего солнца.",11,7,"0,6720978579",трепало
121,long,8,ореховый,орехового,0,3,"3,4",low,adj,Старый шкаф орехового дерева был явно не отсюда.,Старый шкаф <mask>  дерева был явно не отсюда.,8,9,"0,531478917",орехового
122,long,8,лопоухий,лопоухая,0,4,"1,2",low,adj,Старуха была страшной -- лопоухая и с гнилыми зубами.,Старуха была страшной -- <mask>  и с гнилыми зубами.,9,8,"0,07918124605",лопоухая
123,long,8,жирность,жирность,0,5,1,low,noun,В качестве примера приводится жирность куриного бульона.,В качестве примера приводится <mask>  куриного бульона.,7,8,0,жирность
124,long,8,сгущёнка,"сгущёнки,",1,4,"1,2",low,noun,"Когда мне хотелось сгущенки, папа мне ее привозил, стоило только позвонить.","Когда мне хотелось <mask> , папа мне ее привозил, стоило только позвонить.",11,9,"0,07918124605",сгущенки
125,long,8,журчание,журчание,0,2,"1,5",low,noun,"Вспоминая журчание водяных струй, мы непременно подумаем о фонтанах.","Вспоминая <mask>  водяных струй, мы непременно подумаем о фонтанах.",9,8,"0,1760912591",журчание
126,long,8,баранина,"баранины,",1,5,"4,3",low,noun,"В котёл бросают куски баранины, специи, травы.","В котёл бросают куски <mask> , специи, травы.",7,9,"0,6334684556",баранины
127,long,8,обгореть,обгорели,0,3,"3,3",low,verb,"У Пашки обгорели ресницы и щеки, ходит, намазанный кремом от ожогов.","У Пашки <mask>  ресницы и щеки, ходит, намазанный кремом от ожогов.",11,8,"0,5185139399",обгорели
128,long,8,заварить,заварил,0,5,"5,3",low,verb,"Он вскрыл пачку сухарей, заварил чай, достал чашки и ложки.","Он вскрыл пачку сухарей, <mask>  чай, достал чашки и ложки.",10,7,"0,7242758696",заварил
129,long,9,бездетный,"бездетным,",1,5,2,low,adj,"Ее сын Гриша умер бездетным, и младший сын остался единственным наследником.","Ее сын Гриша умер <mask> , и младший сын остался единственным наследником.",11,10,"0,3010299957",бездетным
130,long,9,неопытный,неопытным,0,4,"4,9",low,adj,Он был очень неопытным дипломатом и большим мечтателем.,Он был очень <mask>  дипломатом и большим мечтателем.,8,9,"0,69019608",неопытным
131,long,9,рубильник,рубильник,0,7,"1,4",low,noun,В мои обязанности входило утром включить рубильник в подвале.,В мои обязанности входило утром включить <mask>  в подвале.,9,9,"0,1461280357",рубильник
132,long,9,техосмотр,техосмотра,0,3,"1,7",low,noun,"После завершения техосмотра эксперты называют цену, по которой можно забрать автомобиль.","После завершения <mask>  эксперты называют цену, по которой можно забрать автомобиль.",11,10,"0,2304489214",техосмотра
133,long,9,миссионер,миссионеры,0,3,"2,8",low,noun,В резервациях миссионеры взялись их обращать в новую веру.,В резервациях <mask>  взялись их обращать в новую веру.,9,10,"0,4471580313",миссионеры
134,long,9,покрывало,"покрывало,",1,3,"7,1",low,noun,"Отвернув цветастое покрывало, она осторожно присела на край своей кровати.","Отвернув цветастое <mask> , она осторожно присела на край своей кровати.",10,10,"0,8512583487",покрывало
135,long,9,пополнеть,пополнела,0,7,"0,8",low,verb,"Она почти не изменилась, только слегка пополнела и появились первые морщинки.","Она почти не изменилась, только слегка <mask>  и появились первые морщинки.",11,9,"-0,09691001301",пополнела
136,long,9,подвинуть,подвинул,0,4,4,low,verb,"Журналист взял карандаш, подвинул к себе чистый лист и написал цифру.","Журналист взял карандаш, <mask>  к себе чистый лист и написал цифру.",11,8,"0,6020599913",подвинул
137,long,10,раритетный,раритетных,0,4,"0,7",low,adj,"Считается, что коллекционирование раритетных машин ― занятие для звезд шоу-бизнеса.","Считается, что коллекционирование <mask>  машин ― занятие для звезд шоу-бизнеса.",10,10,"-0,15490196",раритетных
138,long,10,прибыльный,прибыльных,0,8,"5,4",low,adj,Торговля продуктами питания является одной из самых прибыльных отраслей в России.,Торговля продуктами питания является одной из самых <mask>  отраслей в России.,11,10,"0,7323937598",прибыльных
