item.id,length,char,target,word.form,Freq_type,POS,Sentences_with_mask,,модели_все предсказания,модели_не_s_не_e,люди_все предсказания,люди_не_s_не_e
123,long,8,жирность,жирность,low,noun,В качестве примера приводится <mask>  куриного бульона.,Видна вершина,0,0,0,0
124,long,8,сгущёнка,"сгущёнки,",low,noun,"Когда мне хотелось <mask> , папа мне ее привозил, стоило только позвонить.",Видна вершина,"0,143","0,5",0,0
125,long,8,журчание,журчание,low,noun,"Вспоминая <mask>  водяных струй, мы непременно подумаем о фонтанах.",Видна вершина,0,0,0,0
126,long,8,баранина,"баранины,",low,noun,"В котёл бросают куски <mask> , специи, травы.",Видна вершина,"0,429","0,5",0,0
131,long,9,рубильник,рубильник,low,noun,В мои обязанности входило утром включить <mask>  в подвале.,Видна вершина,0,0,0,0
132,long,9,техосмотр,техосмотра,low,noun,"После завершения <mask>  эксперты называют цену, по которой можно забрать автомобиль.",Видна вершина,"0,143","0,143",0,0
134,long,9,покрывало,"покрывало,",low,noun,"Отвернув цветастое <mask> , она осторожно присела на край своей кровати.",Видна вершина,0,0,0,0
139,long,10,атрибутика,атрибутику,low,noun,"Клиенты воровали из ресторана <mask>  ― скульптурки, кувшинчики, шкатулки.",Видна вершина,0,0,0,0
140,long,10,растяжение,"растяжение,",low,noun,"Один футболист, который получил <mask> , не участовал в игре.",Видна вершина,0,0,0,0
141,long,10,излишество,"излишества,",low,noun,"Наши власти позволяют себе <mask> , создавая иллюзию благополучного общества.",Видна вершина,0,0,0,0
142,long,10,пластмасса,пластмассы,low,noun,Ненужный коврик из твёрдой <mask>  пригодится как подставка для посуды.,Видна вершина,"0,143","0,143",0,0
